,tileID,ratio_rep1,coverage_rep1,ratio_rep2,coverage_rep2,ratio_rep3,coverage_rep3,iscontrol,log_cov_rep1,log_cov_rep2,log_cov_rep3
0,CKM63_gp4-016,1.5211155693019285,0.0038300804428007293,1.3414269974628623,0.003494860599087417,1.5023046307575663,0.0038817688160435915,no,-2.4167921044915377,-2.456570142451777,-2.410970333168753
1,SPCV_gp1-074,1.596673535827934,2.1992059910195903e-05,3.5348835086311916,8.510490523331668e-06,0.9951383682209028,2.2559242262123506e-06,no,-4.657734090069278,-5.0700454075491646,-5.646675491874207
2,SPCV_gp2-013,1.183859819236584,0.0002371317764229819,1.1805173803220679,0.0001684444765190692,1.356488726440864,0.00019987488644241427,no,-3.625010245260655,-3.773543225446403,-3.6992417699871565
3,Grslavgp1-310,1.2349453403409543,0.00037541468386430364,0.8904158682653405,0.0003016613188904776,1.1330008523845971,0.0003365838945508827,no,-3.4254887445102984,-3.520480374509848,-3.4729066687375574
4,D306_gp8-022,1.1905702815590185,0.0002906446898176565,1.1245073661441798,0.00024329990554936416,0.7779974304183155,0.0002980075902826515,no,-3.5366376073504866,-3.613858059665145,-3.52577267425968
5,TaBVgp3-031,0.6980266087183665,5.1930276399638e-05,1.0256343917636517,5.9810568074188504e-05,0.4954152049584581,6.068436168511223e-05,no,-4.284579365860208,-4.223222072687145,-4.2169232118718
6,D1Q05_gp3-171,0.8533668744264573,0.0028906864714343256,0.8822432280012247,0.0026529280474386864,0.802038208339321,0.002900216185218598,no,-2.5389990100623048,-2.576274528767801,-2.537569628118919
7,BCVgp2-068,0.9102907247412224,0.0003738979900773936,0.815328102142573,0.0002729944034434657,1.032209318561014,0.0003972682562359949,no,-3.4272468694289393,-3.5638462561773183,-3.4009161359069306
8,BCVgp2-084,0.908866059899988,0.003391953768008101,0.9401609644745722,0.0034045123885471564,1.076332396860159,0.003932301518710748,no,-2.469550075765501,-2.4679450811455355,-2.4053531889854343
9,BCVgp2-069,0.798307011892054,0.0007038118603343953,0.8913074360365951,0.0007016807217549401,1.154392843070227,0.0007609232415014259,no,-3.1525434188955685,-3.1538604552803093,-3.118659150685006
10,SPBVb_gp3-050,1.2723941542894845,0.0003748541665952282,1.0489610942549137,0.000310382595556802,0.9997526110410925,0.0003659109094916433,no,-3.426137657502251,-3.5081026394291848,-3.43662464199907
11,SPBVb_gp5-004,1.0759442607489205,0.00023317518393539043,0.7562751502957082,0.00018319950652856065,0.813695468954923,0.0002084473985020212,no,-3.6323176719808106,-3.7370757004946515,-3.6810035206541007
12,AXI67_gp4-008,1.257029785856896,0.000827488347175692,1.6892285503810966,0.0007565378154687993,1.589035966245012,0.0008295033379782813,no,-3.082238113314091,-3.121169358930985,-3.081181862005345
13,SCFAV_gp01-270,0.9864540917531236,0.0008459194738470555,1.1610491079970697,0.0008681754264513265,1.268877393164919,0.0009323734826935645,no,-3.0726709770654432,-3.0613925109502387,-3.030410086592499
