,tileID,ratio_rep1,coverage_rep1,ratio_rep2,coverage_rep2,iscontrol,log_cov_rep1,log_cov_rep2
0,A1,0.6771571388167259,4.9590821678696395e-05,0.22286169534123265,1.1186101147938616e-05,yes,-4.304598695750686,-4.951321257974605
1,A8,1.0237837794112004,2.7845603602371084e-06,0.29132247757023877,1.9981850130708377e-06,yes,-5.55524336357642,-5.699364302678707
2,AL2-1,0.8936601295111859,6.778206140050856e-05,0.1425791828010882,2.0430041161677537e-05,no,-4.168885227454197,-4.689730758366505
3,AL2-2,0.8088811903782286,8.353681080711324e-05,0.194833039148784,1.986980237296609e-05,no,-4.078122108856757,-4.701806452404887
4,AL2-3,0.7575999967642882,3.2608667376460874e-06,0.2553800939739106,2.7264954383957226e-06,no,-5.486666949212298,-5.564395224579479
5,B8,0.7404035277330686,2.757081146155821e-05,0.149969973631243,1.5089098042628382e-05,yes,-4.559550451591329,-4.82133671958933
6,B9,0.9460273487893971,5.145940823622393e-05,0.2868726729025115,1.4435486122465024e-05,yes,-4.288535212319614,-4.840568586445591
7,C5,0.7089570609920788,0.00022646536298191535,0.15712952942648828,0.00013537236597897667,yes,-3.6449982122653855,-3.8684699806116813
8,D7,0.35534709041476936,2.051781318069448e-06,0.12187636945251737,3.249384974526409e-06,yes,-5.68786892885101,-5.488198832081316
9,E5,0.9474176233712042,7.364429373784984e-05,0.18446438438351054,2.2148106780392652e-05,yes,-4.132860898436721,-4.6546633913356725
10,F7,0.7491502785067125,7.236193041405643e-06,0.1950977804334023,3.2867342271071725e-06,yes,-5.140489855894732,-5.483235412549766
11,H7,0.8903418765392277,1.6853917969856182e-06,0.14069551473562666,2.1849312759746542e-06,yes,-5.773299124175637,-5.660562218617755
12,H8,1.0168108930930952,7.19955408929726e-06,0.1659818054023983,4.649981946305033e-06,yes,-5.142694401145765,-5.33254873326818
13,M-1,0.6008778766166128,2.099411955810346e-05,0.018154259965887314,5.882507281470223e-06,no,-4.677902333889821,-5.230437526574316
14,M-2,0.9271328631730801,3.1509498813209384e-06,0.0865818552219241,2.6144476806534326e-06,no,-5.501558504613643,-5.582620044685679
15,M-3,0.8912941138403392,2.9860745968332148e-05,0.15857395030976706,7.712620657927627e-06,no,-4.524899347117234,-5.112798028707515
16,NH2,0.9129153293552523,2.30642203522271e-05,0.28549293952185467,1.606017860972823e-05,yes,-4.6370612214133295,-4.7942496291203485
17,NH20,0.7924888344772502,4.680626131845929e-05,0.3214381976617899,2.5472190260080588e-05,yes,-4.329696047050461,-4.593933710043456
18,NH28,0.5998682773062407,2.0536132656748672e-05,0.5002507190600058,8.254184820348695e-06,yes,-4.687481338926219,-5.0833258110148245
19,NH31,0.16369922142702859,1.9052255096359162e-06,0.31874382099398607,2.707820812105341e-06,yes,-5.7200536122224115,-5.5673800781289415
21,NH39,1.248791203457618,1.172446467468256e-06,0.18154259965887312,1.3445730929074796e-06,yes,-5.930906977537305,-5.871415583932648
22,NH44,0.61808857544872,3.2975056897544705e-07,0.5024839811986668,1.5126447295209145e-06,yes,-6.481814446417886,-5.820263061485266
23,NH45,0.7770256377069623,6.2652608105334934e-06,0.15695117181663532,5.340943119049155e-06,yes,-5.203060845465057,-5.272382047234873
24,NH64,0.3775171730368732,6.741567187942473e-06,0.30015043143600356,6.74154009082778e-06,yes,-5.171239132847674,-5.171240878458258
25,NH68,0.8004083536564773,3.6089367826757257e-06,0.24041175333466305,4.668656572595415e-06,yes,-5.442620725359599,-5.330808071691878
26,NH72,0.8389021050281905,6.688440707385317e-05,0.15457747218954182,1.5929456225695558e-05,yes,-4.174675118571464,-4.797799049196393
27,NH8,1.6635788254098527,4.671466393818833e-06,0.23471479235516868,4.762029704047323e-06,yes,-5.330546771087237,-5.322207899929961
28,NH80,1.690750230195705,1.3556412280101712e-06,0.6096805638543822,6.909611727441215e-07,yes,-5.867855231790216,-6.160546356296921
29,NH92,0.9178904549870952,7.778449532609711e-05,0.044163173236209434,1.830113376457403e-05,yes,-4.109106961691212,-4.737522004671422
30,NH93,1.201650224979517,1.2786994285825667e-05,0.30538561337965475,6.125277423245185e-06,yes,-4.89323152889803,-5.212874236652238
31,NH96,1.1063610073311052,5.917190765503855e-06,0.4106787997688562,3.7722745106570955e-06,yes,-5.227884429190089,-5.4233967109172925
32,P12-1,0.9829440957270751,2.148874541156663e-05,0.15968210668956936,6.162626675825948e-06,no,-4.667788939405662,-5.210234140486029
