tax_id,lineage
1312723,Viruses; Monodnaviria; Shotokuvirae; Cressdnaviricota; Repensiviricetes; Geplafuvirales; Geminiviridae; Begomovirus; Begomovirus abutilonis
101764,Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes; Tymovirales; Betaflexiviridae; Quinvirinae; Carlavirus
2560282,Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes; Tymovirales; Betaflexiviridae; Trivirinae; Prunevirus; Prunevirus actinidiae
2024724,Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes; Martellivirales; Closteroviridae; Olivavirus
3240217,Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes; Tymovirales; Betaflexiviridae; Trivirinae; Vitivirus; Vitivirus alphactinidiae
3240218,Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes; Tymovirales; Betaflexiviridae; Trivirinae; Vitivirus; Vitivirus betactinidiae
3240745,Viruses; Riboviria; Orthornavirae; Pisuviricota; Stelpaviricetes; Patatavirales; Potyviridae; Potyvirus; Potyvirus melongenae
1963256,Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Sobelivirales; Solemoviridae; Polerovirus; unclassified Polerovirus
387423,Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes; Tymovirales; Betaflexiviridae; Trivirinae; Vitivirus; unclassified Vitivirus
1705092,Viruses; Viruses incertae sedis; Alphasatellitidae; Geminialphasatellitinae; unclassified Begomovirus-associated alphasatellites
1260769,Viruses; Viruses incertae sedis; Alphasatellitidae; Geminialphasatellitinae; Colecusatellite
188333,Viruses; Monodnaviria; Shotokuvirae; Cressdnaviricota; Repensiviricetes; Geplafuvirales; Geminiviridae; Begomovirus
1175505,Viruses; Viruses incertae sedis; Tolecusatellitidae; Betasatellite; unclassified Betasatellite
635076,Viruses; Viruses incertae sedis; Tolecusatellitidae; Betasatellite
2182585,Viruses; Monodnaviria; Shotokuvirae; Cressdnaviricota; Repensiviricetes; Geplafuvirales; Geminiviridae; Begomovirus
298650,Viruses; Monodnaviria; Shotokuvirae; Cressdnaviricota; Repensiviricetes; Geplafuvirales; Geminiviridae; Begomovirus; Begomovirus agerainvolutionis
187850,Viruses; Viruses incertae sedis; Alphasatellitidae; Geminialphasatellitinae; Colecusatellite
185750,Viruses; Viruses incertae sedis; Tolecusatellitidae; Betasatellite
1454227,Viruses; Viruses incertae sedis; Alphasatellitidae; Geminialphasatellitinae; Colecusatellite
222078,Viruses; Monodnaviria; Shotokuvirae; Cressdnaviricota; Repensiviricetes; Geplafuvirales; Geminiviridae; Begomovirus; Ageratum yellow vein virus
1329380,Viruses; Monodnaviria; Shotokuvirae; Cressdnaviricota; Repensiviricetes; Geplafuvirales; Geminiviridae; Begomovirus; unclassified Begomovirus
437063,Viruses; Monodnaviria; Shotokuvirae; Cressdnaviricota; Repensiviricetes; Geplafuvirales; Geminiviridae; Begomovirus
437061,Viruses; Monodnaviria; Shotokuvirae; Cressdnaviricota; Repensiviricetes; Geplafuvirales; Geminiviridae; Begomovirus; Ageratum yellow vein Hualian virus
2010316,Viruses; Viruses incertae sedis; Tolecusatellitidae; Betasatellite
915293,Viruses; Viruses incertae sedis; Alphasatellitidae; Geminialphasatellitinae; Ageyesisatellite
222441,Viruses; Monodnaviria; Shotokuvirae; Cressdnaviricota; Repensiviricetes; Geplafuvirales; Geminiviridae; Begomovirus; unclassified Begomovirus
