is_selected,tax_id,tile_ID
False,10651,226
False,10820,59
False,10830,67
False,10834,64
False,10836,54
False,11986,37
False,11987,35
False,11988,38
False,12041,96
False,12049,100
False,12055,28
False,12056,29
False,12139,147
False,12142,63
False,12143,72
False,12144,87
False,12145,35
False,12149,22
False,12150,15
False,12151,256
False,12152,227
False,12153,244
False,12154,15
False,12158,269
False,12164,32
False,12171,33
False,12175,241
False,12181,197
False,12196,319
False,12198,305
False,12199,304
False,12201,301
False,12229,110
False,12235,34
False,12238,38
False,12239,34
False,12241,33
False,12242,23
False,12253,34
False,12432,237
False,12444,16
False,12470,94
False,12627,63
False,12881,15
False,28350,79
False,28354,185
False,29272,21
False,31503,18
False,31559,209
False,31742,306
False,31743,321
False,31749,35
False,31770,259
False,33761,16
False,33763,309
False,35280,35
False,35281,35
False,35284,38
False,35286,190
False,35291,33
False,35350,39
False,35593,173
False,36403,205
False,36772,24
False,38172,52
False,39046,192
False,39443,34
False,40279,34
False,41460,308
False,44562,62
False,47669,43
False,47736,128
False,47740,123
False,47900,248
False,47985,462
False,48201,69
False,48876,53
False,49267,81
False,51617,5
False,52274,9
False,55074,21
False,56879,202
False,58177,18
False,59749,237
False,67762,55
False,68033,129
False,72539,266
False,73819,256
False,73840,34
False,77344,34
False,77811,41
False,79917,311
False,82847,55
False,83839,84
False,85753,62
False,92963,30
False,96054,23
False,99585,34
False,100755,27
False,101281,56
False,103722,249
False,103723,213
False,104263,254
False,104393,44
False,104664,235
False,107324,189
False,111418,30
False,111427,44
False,111970,34
False,112436,320
False,113553,195
False,114891,45
False,114923,45
False,119910,85
False,120168,63
False,128941,47
False,129143,271
False,131226,247
False,132477,229
False,134374,11
False,135656,50
False,136234,365
False,137556,50
False,141860,30
False,142843,35
False,146499,34
False,146762,44
False,150285,242
False,154834,13
False,157018,299
False,163654,9
False,165432,65
False,167018,36
False,167019,46
False,167020,36
False,167021,37
False,167132,48
False,172220,220
False,172278,9
False,175814,217
False,180526,15
False,180587,47
False,184020,122
False,185692,15
False,185750,8
False,185793,7
False,185955,196
False,186371,10
False,186637,85
False,186642,43
False,186643,30
False,187850,27
False,188333,54
False,190503,46
False,190811,14
False,191460,55
False,193120,120
False,196093,57
False,196375,23
False,196398,154
False,196691,54
False,198310,233
False,199361,35
False,202568,46
False,204928,37
False,207697,16
False,208084,63
False,208086,50
False,208177,6
False,211866,25
False,214439,194
False,218282,45
False,218845,8
False,219596,8
False,219744,42
False,220813,8
False,221036,8
False,222078,64
False,222441,11
False,222450,75
