## Tue Nov 12 22:27:18 2024
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_w8pxn78v --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_w8pxn78v --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_w8pxn78v/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope 10239 --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
D1Q61_gp2	223310.REN_PYMVV	7.61e-79	235.0	4QDXN@10239|Viruses,4QUN0@29258|ssDNA viruses	10239|Viruses	S	Geminivirus AL3 protein	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
D1Q61_gp3	223310.TRAP_PYMVV	1.96e-75	226.0	4QF08@10239|Viruses,4QUM4@29258|ssDNA viruses	10239|Viruses	L	Geminivirus AL2 protein	-	-	-	-	-	-	-	-	-	-	-	-	-
D1Q61_gp4	345184.REP_CALCV	6.37e-231	638.0	4QB6C@10239|Viruses,4QUKM@29258|ssDNA viruses	10239|Viruses	J	Geminivirus Rep catalytic domain	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051701,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
AcLVgp1	12168.PRO_0000431908	2.38e-283	834.0	4QB47@10239|Viruses,4R10F@439488|ssRNA viruses,4R0R8@35278|ssRNA positive-strand viruses  no DNA stage,4R1MI@675063|Tymovirales	10239|Viruses	A	helicase activity	-	GO:0003674,GO:0003824,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008234,GO:0016032,GO:0016787,GO:0019058,GO:0019079,GO:0019538,GO:0039690,GO:0039694,GO:0043170,GO:0044238,GO:0044403,GO:0044419,GO:0051704,GO:0070011,GO:0071704,GO:0140096,GO:1901564	-	-	-	-	-	-	-	-	-	-	-
AcLVgp2	12168.TGB1_PVMR	9.07e-97	288.0	4QB58@10239|Viruses,4R110@439488|ssRNA viruses,4R0QV@35278|ssRNA positive-strand viruses  no DNA stage,4R1MM@675063|Tymovirales	10239|Viruses	A	host cell cytoplasm	-	GO:0005575,GO:0018995,GO:0020002,GO:0030430,GO:0033643,GO:0033644,GO:0033646,GO:0033647,GO:0033648,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044156,GO:0044196,GO:0044215,GO:0044216,GO:0044217,GO:0044218,GO:0044219,GO:0044279	-	-	-	-	-	-	-	-	-	-	-
AcLVgp3	12168.TGB2_PVMR	4.76e-37	128.0	4QDMB@10239|Viruses,4R15U@439488|ssRNA viruses,4R0QP@35278|ssRNA positive-strand viruses  no DNA stage,4R1MN@675063|Tymovirales	10239|Viruses	S	host cell endoplasmic reticulum membrane	-	-	-	-	-	-	-	-	-	-	-	-	-
EXL26_gp1	651356.PRO_0000431909	3.59e-140	453.0	4QB47@10239|Viruses,4R10F@439488|ssRNA viruses,4R0R8@35278|ssRNA positive-strand viruses  no DNA stage,4R1MI@675063|Tymovirales	10239|Viruses	A	helicase activity	-	GO:0003674,GO:0003824,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008234,GO:0016032,GO:0016787,GO:0019058,GO:0019079,GO:0019538,GO:0039690,GO:0039694,GO:0043170,GO:0044238,GO:0044403,GO:0044419,GO:0051704,GO:0070011,GO:0071704,GO:0140096,GO:1901564	-	-	-	-	-	-	-	-	-	-	-
FK833_gp1	651358.RDRP_GVAIS	0.0	1523.0	4QB47@10239|Viruses,4R10F@439488|ssRNA viruses,4R0R8@35278|ssRNA positive-strand viruses  no DNA stage,4R1MI@675063|Tymovirales	10239|Viruses	A	helicase activity	-	GO:0003674,GO:0003824,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008234,GO:0016032,GO:0016787,GO:0019058,GO:0019079,GO:0019538,GO:0039690,GO:0039694,GO:0043170,GO:0044238,GO:0044403,GO:0044419,GO:0051704,GO:0070011,GO:0071704,GO:0140096,GO:1901564	-	-	-	-	-	-	-	-	-	-	-
FK833_gp4	651358.CAPSD_GVAIS	1.29e-69	217.0	4QB47@10239|Viruses,4R10F@439488|ssRNA viruses,4R0R8@35278|ssRNA positive-strand viruses  no DNA stage,4R1MI@675063|Tymovirales	10239|Viruses	A	helicase activity	-	GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0030430,GO:0033643,GO:0033644,GO:0033646,GO:0033647,GO:0033648,GO:0033655,GO:0039690,GO:0039694,GO:0043656,GO:0043657,GO:0044161,GO:0044162,GO:0044215,GO:0044216,GO:0044217,GO:0044218,GO:0044279,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
AcVB_gp1	651358.RDRP_GVAIS	0.0	1531.0	4QB47@10239|Viruses,4R10F@439488|ssRNA viruses,4R0R8@35278|ssRNA positive-strand viruses  no DNA stage,4R1MI@675063|Tymovirales	10239|Viruses	A	helicase activity	-	GO:0003674,GO:0003824,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008234,GO:0016032,GO:0016787,GO:0019058,GO:0019079,GO:0019538,GO:0039690,GO:0039694,GO:0043170,GO:0044238,GO:0044403,GO:0044419,GO:0051704,GO:0070011,GO:0071704,GO:0140096,GO:1901564	-	-	-	-	-	-	-	-	-	-	-
