Genome,Accession,RefSeq type,Source information,Number of segments,Genome length,Number of proteins,Genome Neighbors,Host,Date completed,Date updated,realm,Filename
Ageratum conyzoides associated symptomless alphasatellite,NC_024710,complete,isolate:Okra,-,1437,1,7,land plants,08/20/2014,08/13/2018,Alphasatellitidae,Ageratum_conyzoides_associated_symptomless_alphasatellite
Ageratum conyzoides symptomless alphasatellite,NC_028116,complete,isolate:WOK80,-,1381,1,7,land plants,10/30/2015,08/13/2018,Alphasatellitidae,Ageratum_conyzoides_symptomless_alphasatellite
Ageratum enation alphasatellite,NC_019547,complete,isolate:Poppy (1),-,1378,1,20,land plants,11/21/2012,08/13/2018,Alphasatellitidae,Ageratum_enation_alphasatellite
Ageratum leaf curl Cameroon alphasatellite,NC_014744,complete,isolate:SatA7,-,1383,3,4,land plants,12/01/2010,08/14/2018,Alphasatellitidae,Ageratum_leaf_curl_Cameroon_alphasatellite
Ageratum yellow vein China alphasatellite,NC_023443,complete,isolate:Sn3,-,1365,1,-,land plants,02/13/2014,08/13/2018,Alphasatellitidae,Ageratum_yellow_vein_China_alphasatellite
Ageratum yellow vein India alphasatellite,NC_019546,complete,isolate:NBRI,-,1389,1,16,land plants,11/21/2012,08/13/2018,Alphasatellitidae,Ageratum_yellow_vein_India_alphasatellite
Ageratum yellow vein Pakistan alphasatellite,NC_033271,complete,isolate:H5A1,-,1370,1,4,land plants,01/05/2017,08/13/2018,Alphasatellitidae,Ageratum_yellow_vein_Pakistan_alphasatellite
Ageratum yellow vein Singapore alphasatellite,NC_003414,complete,-,-,1360,1,4,land plants,02/14/2002,08/13/2018,Alphasatellitidae,Ageratum_yellow_vein_Singapore_alphasatellite
Ageratum yellow vein alphasatellite,NC_033555,complete,-,-,1364,1,7,land plants,01/27/2017,08/13/2018,Alphasatellitidae,Ageratum_yellow_vein_alphasatellite
Banana bunchy top alphasatellite 3,NC_038955,complete,isolate:Haikou 2,-,1093,1,-,land plants,08/24/2018,09/07/2018,Alphasatellitidae,Banana_bunchy_top_alphasatellite_3
Bendhi Yellow Vein Mosaic/Mesta Yellow Vein Mosaic alphasatellite,NC_039083,complete,-,-,1377,1,-,land plants,02/08/2010,08/24/2018,Alphasatellitidae,Bendhi_Yellow_Vein_MosaicMesta_Yellow_Vein_Mosaic_alphasatellite
